氏名,プロフィール
井林　辰憲,"井林　辰憲（いばやし　たつのり）
小選挙区（静岡県第二区）選出、自由民主党・無所属の会
財務金融委員長
昭和五十一年七月静岡県榛原郡川根本町のお茶農家の長男として生まれる。京都大学環境工学科卒業、京都大学大学院工学研究科修了○平成十四年より国土交通省勤務、平成二十二年自由民主党静岡県第二選挙区支部長、平成二十五年より京都大学非常勤講師を務める○内閣府副大臣、環境大臣政務官兼内閣府大臣政務官○自由民主党財務金融部会長○衆議院財務金融委員会理事、国土交通委員、農林水産委員、総務委員、環境委員等歴任○中学、高校と野球部に所属、大学時代は、バスケットに熱中する学生生活を送る。リラックス法は、妻と娘二人と過ごす事○著書「キセキ〜四百万円からの選挙戦」「外から見た静岡」○当選五回（46 47 48 49 50）
（令和7年3月現在）"
今井　雅人,"今井　雅人（いまい　まさと）
小選挙区（岐阜県第四区）選出、立憲民主党・無所属
昭和三十七年下呂町（現下呂市）生まれ。上智大学文学部英文科卒業、三和銀行（現三菱UFJ銀行）入行、アメリカ勤務を経て、同銀行為替部次長に就任。グローバルインフォ（株）、（株）マットキャピタルマネージメント創立。慶應義塾大学GSEC研究所研究員、早稲田大学インド経済研究所研究員を務める。維新の党政務調査会長、維新の党幹事長、民進党幹事長代理、民進党岐阜県総支部連合会代表を歴任○当選五回（45 46 47 48 50）
（令和7年3月現在）"
今枝　宗一郎,"今枝　宗一郎（いまえだ　そういちろう）
小選挙区（愛知県第十四区）選出、自由民主党・無所属の会
昭和五十九年二月愛知県に生まれる、名古屋大学医学部卒業、医師○JR東京総合病院研修医、医療法人信愛会、新城市夜間診療所○財務大臣政務官○自由民主党文部科学部会部会長、経済産業部会長代理、国土交通部会長代理、農林水産部会副部会長、新型コロナ対策本部事務局長、社会保障制度調査会医療委員会事務局長、雇用問題調査会事務局長○衆議院厚生労働委員会理事、地域・こども・デジタル特別委員会理事○当選五回（46 47 48 49 50）
（令和7年3月現在）"
岩田　和親,"岩田　和親（いわた　かずちか）
比例代表（九州）選出、自由民主党・無所属の会
昭和四十八年九月二十日、佐賀県佐賀市出身。九州大学法学部卒業○（株）九州恵商会代表取締役、大前研一事務所秘書、（株）セレモニージャパン副社長、佐賀県議三期○防衛大臣政務官、経済産業大臣政務官、内閣府大臣政務官、復興大臣政務官、経済産業副大臣、内閣府副大臣○自由民主党国交部会長代理、国防部会長代理、経済産業部会長、ネットメディア局次長○衆議院国土交通委員会理事、原子力問題調査特別委員会理事、経済産業委員会理事○当選五回（46 47 48 49 50）
（令和7年3月現在）"
岩谷　良平,"岩谷　良平（いわたに　りょうへい）
小選挙区（大阪府第十三区）選出、日本維新の会
昭和五十五年大阪生まれ、大阪育ち、早稲田大学法学部卒業、京都産業大学大学院修了（法務博士）、会社員を経て行政書士として独立、大阪府議会議員に当選、二〇二五大阪万博を提唱、府議を引退後、米国カフェチェーン日本本部社長等を歴任、東大阪市で立候補し、衆議院議員に当選、党副幹事長、党防衛部会長、衆憲法審査会委員、衆安保委員会理事○当選二回（49 50）
（令和7年3月現在）"
岩屋　毅,"岩屋　毅（いわや　たけし）
小選挙区（大分県第三区）選出、自由民主党・無所属の会
外務大臣
昭和三十二年八月二十四日大分県別府市に生まれる、鹿児島ラ・サール高校卒、早稲田大学政治経済学部政治学科卒、代議士秘書を経て、昭和六十二年大分県議会議員となる。平成二年衆議院議員初当選。以来、防衛庁長官政務官、外務副大臣、防衛大臣、衆文科委員長、衆予算委員会理事、衆憲法審査会幹事、衆情報監視審査会長、党安保調査会長、党治安テロ対策調査会会長等を歴任。現在、外務大臣○当選十回（39 42 43 44 45 46 47 48 49 50）
（令和7年3月現在）"
上田　英俊,"上田　英俊（うえだ　えいしゅん）
小選挙区（富山県第二区）選出、自由民主党・無所属の会
昭和四十年一月富山県下新川郡入善町に生まれる。富山県立魚津高等学校、早稲田大学政治経済学部政治学科卒業。平成十一年、富山県議会議員に当選。令和二年富山県議会議長。令和三年衆議院議員当選○自由民主党地方組織・議員総局長、農林水産関係団体委員長○当選二回（49 50）
（令和7年3月現在）"
上野　賢一郎,"上野　賢一郎（うえの　けんいちろう）
小選挙区（滋賀県第二区）選出、自由民主党・無所属の会
昭和四十年八月滋賀県長浜市に生まれる、京都大学法学部卒業、自治省、国土庁、通商産業省、総務省、内閣官房、大学院講師○国土交通大臣政務官、財務副大臣○自由民主党副幹事長、財務金融部会長、経済産業部会長、政務調査会副会長、国会対策副委員長、選挙対策副委員長、PFI推進特命委員長、住宅土地・都市政策調査会幹事長、水政策・国土保全調査会事務局長、高等専門学校小委員長を務める○衆議院財務金融委員会筆頭理事、厚生労働委員会筆頭理事、予算委員会理事、内閣委員長を務める○現在、自由民主党税制調査会幹事○当選六回（44 46 47 48 49 50）
（令和7年3月現在）"
上村　英明,"上村　英明（うえむら　ひであき）
比例代表（東海）選出、れいわ新選組
昭和三十一年十二月熊本県熊本市に生まれる、慶應大学法学部卒業、早稲田大学大学院経済学研究科修了○恵泉女学園大学名誉教授、市民外交センター顧問、新時代アジアピースアカデミー理事○れいわ新選組幹事○共編著『マイノリティ・ライツ』単著『新・先住民族の「近代史」』『北の海の交易者たち』共著『平和学事典』『新国際人権法講座第3巻国際人権法の規範と主体』○当選一回（50）
（令和7年3月現在）"
浮島　智子,"浮島　智子（うきしま　ともこ）
比例代表（近畿）選出、公明党
昭和三十八年二月一日東京都新宿区生まれ、同五十六年東京立正高等学校卒業○昭和五十九年より香港ロイヤルバレエ団、平成七年より米国デイタンバレエ団でプリマバレリーナを務める。バレエ団退団後、昭和六十三年香港、シンガポールに「TOMOKO Cultural School」を開校。平成十年神戸で劇団「夢」サーカス設立。同十六年参議院議員初当選、同二十四年衆議院議員初当選○平成二十年文部科学大臣政務官、同二十五年環境大臣政務官兼内閣府大臣政務官、同三十年文部科学副大臣兼内閣府副大臣を歴任○公明党政務調査会長代理、文部科学部会長、文化芸術振興会議長、文化局長、市民活動委員長を務める○平成二十八年衆議院経済産業委員長、令和四年衆議院総務委員長○著書「夢が踊りだす」○当選五回（46 47 48 49 50）参一回（20）
（令和7年3月現在）"
臼木　秀剛,"臼木　秀剛（うすき　ひでたけ）
比例代表（北海道）選出、国民民主党・無所属クラブ
昭和五十六年三月生まれ、兵庫県姫路市出身、新潟大学大学院実務法学研究科修了○衆議院議員秘書、政党職員○国民民主党北海道衆議院比例区第一総支部長○衆議院議院運営委員、決算行政監視委理事、政治倫理審査会委員○当選一回（50）
（令和7年3月現在）"
梅谷　守,"梅谷　守（うめたに　まもる）
小選挙区（新潟県第五区）選出、立憲民主党・無所属
昭和四十八年十二月九日東京都文京区に生まれる、早稲田大学教育学部卒業○新潟県議会議員、国会議員政策担当秘書○著書「18歳選挙権で政治は変わるのか」○当選二回（49 50）
（令和7年3月現在）"
