No,氏名,ふりがな,会派,選挙区,当選回数,生年月日,表面,本質,意思決定,隠れ,希望,プロフィール
46,伊東 信久君,いとう のぶひさ,維新,大阪19,4,1964/1/4,虎,虎,ゾウ,チーター,ひつじ,"伊東 信久（いとう のぶひさ）
 小選挙区（大阪府第十九区）選出、日本維新の会
 昭和三十九年一月四日大阪府に生まれる、神戸大学医学部卒業、大阪市立大学大学院医学研究科卒業○医学博士、大阪大学大学院招聘教授、医療法人眞愛会理事長となり、現在に至る○日本維新の会国会対策委員会副委員長、政務調査会副会長○衆議院科学技術・イノベーション推進特別委員会理事、財務金融委員会理事、憲法審査会委員、決算行政監視委員会理事、原子力問題調査特別委員会理事、消費者問題に関する特別委員会理事○当選四回（46 47 49 50）
 （令和7年3月現在）"
47,伊東 良孝君,いとう よしたか,自民,（比）北海道,6,1948/11/24,虎,くろひょう,ライオン,子守熊,たぬき,"伊東 良孝（いとう よしたか）
 比例代表（北海道）選出、自由民主党・無所属の会
 内閣府特命担当大臣
 昭和二十三年十一月北海道旭川市に生まれる。北海道教育大学教育学部卒業○釧路市議会議員（三期）北海道議会議員（二期）釧路市長（二期）○内閣府特命担当大臣（沖縄及び北方対策、消費者及び食品安全、地方創生、アイヌ施策）、新しい地方経済・生活環境創生担当、国際博覧会担当、財務大臣政務官、農水副大臣○自民党道連会長、総務副会長、副幹事長（二回）国対副委員長○衆議運委理事、農水委理事、沖北特委筆頭理事、農水委員長○党水産部会長○農水副大臣（二回）衆地方創生特委員長○党農林部会畜産・酪農対策委員長、北海道総合開発特委員長（ゼロカーボン推進本部長）自民党道連会長（五期目）衆農水、沖北委、国対副委員長○衆議運理事○衆農水委理事○衆沖北特委理事○当選六回（45 46 47 48 49 50）
 （令和7年3月現在）"
48,稲田 朋美君,いなだ ともみ,自民,福井1,7,1959/2/20,チーター,子守熊,虎,くろひょう,ひつじ,"稲田 朋美（いなだ ともみ）
 小選挙区（福井県第一区）選出、自由民主党・無所属の会
 昭和三十四年二月二十日福井県越前市に生まれる、早稲田大学法学部卒業○弁護士○伝統と創造の会会長○防衛大臣、内閣府特命担当相、行政改革・公務員制度改革担当相、クールジャパン担当相、再チャレンジ担当相○自由民主党政務調査会長、福井県第一選挙区支部長○当選七回（44 45 46 47 48 49 50）
 （令和7年3月現在）"
49,稲富 修二君,いなとみ しゅうじ,立憲,福岡2,4,1970/8/26,子守熊,猿,ひつじ,猿,虎,"稲富 修二（いなとみ しゅうじ）
 小選挙区（福岡県第二区）選出、立憲民主党・無所属
 昭和四十五年八月福岡県大野城市に生まれる、東京大学法学部卒業、会社員、松下政経塾生、米国コロンビア大学公共政策大学院修了○当選四回（45 48 49 50）
 （令和7年3月現在）"
50,井野 俊郎君,いの としろう,自民,群馬2,5,1980/1/8,ひつじ,こじか,くろひょう,狼,くろひょう,"井野 俊郎（いの としろう）
 小選挙区（群馬県第二区）選出、自由民主党・無所属の会
 昭和五十五年一月八日群馬県伊勢崎市に生まれる、明治大学法学部卒業、弁護士、伊勢崎市議会議員、自由民主党国会対策委員会副委員長、畜産酪農対策委員会委員長代理、青年局次長、衆議院議院運営委員会理事となる○当選五回（46 47 48 49 50）
 （令和7年3月現在）"
51,井上 信治君,いのうえ しんじ,自民,東京25,8,1969/10/7,ペガサス,ライオン,ペガサス,ひつじ,くろひょう,"井上 信治（いのうえ しんじ）
 小選挙区（東京都第二十五区）選出、自由民主党・無所属の会
 昭和四十四年生まれ。東京都出身。開成中学・高校、東京大学法学部、英国ケンブリッジ大学土地経済学部修士卒業。国土交通省、外務省勤務。現在、自民党政務調査会長代理、東京都支部連合会会長、環境・温暖化対策調査会長。国際博覧会担当大臣、内閣府特命担当大臣、環境副大臣、内閣府副大臣、衆議院内閣委員長、自民党幹事長代理、団体総局長、総務部会長、内閣部会長、青年局長などを歴任○当選八回（43 44 45 46 47 48 49 50）
 （令和7年3月現在）"
52,井上 貴博君,いのうえ たかひろ,自民,福岡1,5,1962/4/2,チーター,ペガサス,狼,ひつじ,ライオン,"井上 貴博（いのうえ たかひろ）
 小選挙区（福岡県第一区）選出、自由民主党・無所属の会
 国土交通委員長
 昭和三十七年四月福岡県福岡市に生まれる、獨協大学法学部卒業○福岡県議会議員（三期）、福岡JC理事長○財務大臣補佐官、財務大臣政務官、財務副大臣○自民党国会対策委員会副委員長、商工・中小企業関係団体委員長、副幹事長、総括副幹事長○衆議院議院運営委員会理事○当選五回（46 47 48 49 50）
 （令和7年3月現在）"
53,井上 英孝君,いのうえ ひでたか,維新,大阪1,5,1971/10/25,たぬき,ひつじ,虎,猿,子守熊,"井上 英孝（いのうえ ひでたか）
 小選挙区（大阪府第一区）選出、日本維新の会
 昭和四十六年十月大阪府大阪市港区に生まれる、近畿大学商経学部卒業○大阪市会議員（三期）市会運営、文教経済、計画消防各委員長○衆議院国土交通委員会理事、憲法審査会幹事、予算委員会理事、科学技術・イノベーション推進特別委員長、懲罰委員会理事○現在、衆議院国土交通委員会委員、日本維新の会選挙対策本部長代行、会計監査人代表○当選五回（46 47 48 49 50）
 （令和7年3月現在）"
54,猪口 幸子君,いのくち さちこ,維新,（比）東京,1,1956/7/14,こじか,狼,猿,ゾウ,こじか,"猪口 幸子（いのくち さちこ）
 比例代表（東京都）選出、日本維新の会
 昭和三十一年七月十四日埼玉県秩父市に生まれる、山形大学医学部卒業○医師、医学博士、順天堂大学医学部附属病院内科、腎臓内科勤務を経て、平成三年より葛飾区柴又にて猪口医院開業、平成十一年より十五年まで順天堂大学医学部第一解剖学講座非常勤講師、平成十六年より医療法人社団祥孝会理事長○日本維新の会衆議院東京都第十七選挙区支部長○当選一回（50）
 （令和7年3月現在）"
55,井林 辰憲君,いばやし たつのり,自民,静岡2,5,1976/7/18,たぬき,たぬき,ひつじ,こじか,ライオン,"井林 辰憲（いばやし たつのり）
 小選挙区（静岡県第二区）選出、自由民主党・無所属の会
 財務金融委員長
 昭和五十一年七月静岡県榛原郡川根本町のお茶農家の長男として生まれる。京都大学環境工学科卒業、京都大学大学院工学研究科修了○平成十四年より国土交通省勤務、平成二十二年自由民主党静岡県第二選挙区支部長、平成二十五年より京都大学非常勤講師を務める○内閣府副大臣、環境大臣政務官兼内閣府大臣政務官○自由民主党財務金融部会長○衆議院財務金融委員会理事、国土交通委員、農林水産委員、総務委員、環境委員等歴任○中学、高校と野球部に所属、大学時代は、バスケットに熱中する学生生活を送る。リラックス法は、妻と娘二人と過ごす事○著書「キセキ〜四百万円からの選挙戦」「外から見た静岡」○当選五回（46 47 48 49 50）
 （令和7年3月現在）"
56,今井 雅人君,いまい まさと,立憲,岐阜4,5,1962/2/21,ペガサス,ペガサス,ペガサス,猿,狼,"今井 雅人（いまい まさと）
 小選挙区（岐阜県第四区）選出、立憲民主党・無所属
 昭和三十七年下呂町（現下呂市）生まれ。上智大学文学部英文科卒業、三和銀行（現三菱UFJ銀行）入行、アメリカ勤務を経て、同銀行為替部次長に就任。グローバルインフォ（株）、（株）マットキャピタルマネージメント創立。慶應義塾大学GSEC研究所研究員、早稲田大学インド経済研究所研究員を務める。維新の党政務調査会長、維新の党幹事長、民進党幹事長代理、民進党岐阜県総支部連合会代表を歴任○当選五回（45 46 47 48 50）
 （令和7年3月現在）"
57,今枝 宗一郎君,いまえだ そういちろう,自民,愛知14,5,1984/2/18,子守熊,狼,虎,ゾウ,チーター,"今枝 宗一郎（いまえだ そういちろう）
 小選挙区（愛知県第十四区）選出、自由民主党・無所属の会
 昭和五十九年二月愛知県に生まれる、名古屋大学医学部卒業、医師○JR東京総合病院研修医、医療法人信愛会、新城市夜間診療所○財務大臣政務官○自由民主党文部科学部会部会長、経済産業部会長代理、国土交通部会長代理、農林水産部会副部会長、新型コロナ対策本部事務局長、社会保障制度調査会医療委員会事務局長、雇用問題調査会事務局長○衆議院厚生労働委員会理事、地域・こども・デジタル特別委員会理事○当選五回（46 47 48 49 50）
 （令和7年3月現在）"
58,岩田 和親君,いわた かずちか,自民,（比）九州,5,1973/9/20,猿,くろひょう,ひつじ,狼,ライオン,"岩田 和親（いわた かずちか）
 比例代表（九州）選出、自由民主党・無所属の会
 昭和四十八年九月二十日、佐賀県佐賀市出身。九州大学法学部卒業○（株）九州恵商会代表取締役、大前研一事務所秘書、（株）セレモニージャパン副社長、佐賀県議三期○防衛大臣政務官、経済産業大臣政務官、内閣府大臣政務官、復興大臣政務官、経済産業副大臣、内閣府副大臣○自由民主党国交部会長代理、国防部会長代理、経済産業部会長、ネットメディア局次長○衆議院国土交通委員会理事、原子力問題調査特別委員会理事、経済産業委員会理事○当選五回（46 47 48 49 50）
 （令和7年3月現在）"
